t_ms,current_um_A,current_um_B,target_um
15.519993792,99.4695,99.5786,99.5
15.559993775999999,99.4694,99.578,99.5
15.59999376,99.4695,99.5775,99.5
15.639993743999998,99.4695,99.577,99.5
15.679993728,99.4695,99.5764,99.5
15.719993711999999,99.4695,99.576,99.5
15.759993696,99.4695,99.5754,99.5
15.799993679999998,99.4695,99.5749,99.5
15.839993664000001,99.4695,99.5744,99.5
15.879993648,99.4695,99.574,99.5
15.919993632,99.4696,99.5735,99.5
15.959993616,99.4696,99.5729,99.5
15.999993599999998,99.4696,99.5725,99.5
16.039993584,99.4697,99.572,99.5
16.079993568,99.4697,99.5716,99.5
16.119993552,99.4697,99.5712,99.5
16.159993535999998,99.4697,99.5707,99.5
16.19999352,99.4698,99.5703,99.5
16.239993503999997,99.4698,99.5698,99.5
16.279993488000002,99.4697,99.5694,99.5
16.319993472,99.4698,99.569,99.5
16.359993456,99.4698,99.5686,99.5
16.39999344,99.4698,99.5682,99.5
16.439993423999997,99.4698,99.5677,99.5
16.479993408,99.4698,99.5673,99.5
16.519993392,99.4698,99.567,99.5
16.559993376,99.4698,99.5666,99.5
16.59999336,99.4699,99.5662,99.5
16.639993344,99.4699,99.5658,99.5
16.679993328,99.4699,99.5654,99.5
16.719993312,99.4699,99.5651,99.5
16.759993296,99.4699,99.5647,99.5
16.79999328,99.4698,99.5643,99.5
16.839993264,99.4698,99.5639,99.5
16.879993247999998,99.4698,99.5636,99.5
16.919993232,99.4698,99.5632,99.5
16.959993215999997,99.4698,99.5629,99.5
16.999993200000002,99.4698,99.5625,99.5
17.039993184,99.4698,99.5622,99.5
17.079993168,99.4698,99.5619,99.5
17.119993152,99.4699,99.5616,99.5
17.159993136,99.4699,99.5613,99.5
17.19999312,99.4699,99.561,99.5
17.239993104,99.4699,99.5607,99.5
17.279993088,99.4699,99.5604,99.5
17.319993072,99.4698,99.5602,99.5
17.359993056,99.4698,99.5598,99.5
17.39999304,99.4698,99.5595,99.5
17.439993024,99.4698,99.5593,99.5
17.479993007999997,99.4698,99.559,99.5
17.519992992000002,99.4697,99.5587,99.5
17.559992976,99.4697,99.5584,99.5
17.59999296,99.4697,99.5581,99.5
17.639992944,99.4697,99.5578,99.5
17.679992927999997,99.4697,99.5576,99.5
17.719992912,99.4697,99.5573,99.5
17.759992896,99.4697,99.557,99.5
17.79999288,99.4696,99.5568,99.5
17.839992864,99.4697,99.5565,99.5
17.879992848,99.4697,99.5564,99.5
17.919992832,99.4697,99.5561,99.5
17.959992816,99.4697,99.5559,99.5
17.9999928,99.4697,99.5557,99.5
18.039992784,99.4697,99.5554,99.5
18.079992768,99.4697,99.5552,99.5
18.119992751999998,99.4697,99.5549,99.5
18.159992736,99.4698,99.5547,99.5
18.199992719999997,99.4698,99.5545,99.5
18.239992704000002,99.4698,99.5543,99.5
18.279992688,99.4698,99.5541,99.5
18.319992672,99.4698,99.5539,99.5
18.359992656,99.4698,99.5537,99.5
18.39999264,99.4698,99.5535,99.5
18.439992624,99.4698,99.5533,99.5
18.479992608,99.4697,99.5531,99.5
18.519992592,99.4697,99.5529,99.5
18.559992576,99.4697,99.5527,99.5
18.59999256,99.4698,99.5526,99.5
18.639992544,99.4698,99.5524,99.5
18.679992528,99.4698,99.5522,99.5
18.719992511999997,99.4698,99.552,99.5
18.759992496000002,99.4699,99.5518,99.5
18.79999248,99.4699,99.5517,99.5
18.839992464,99.4699,99.5516,99.5
18.879992448,99.4699,99.5514,99.5
18.919992431999997,99.47,99.5513,99.5
18.959992416,99.4699,99.5511,99.5
18.9999924,99.47,99.551,99.5
19.039992384,99.47,99.5509,99.5
19.079992368,99.47,99.5507,99.5
19.119992352,99.4701,99.5505,99.5
19.159992336,99.4701,99.5504,99.5
19.19999232,99.4701,99.5503,99.5
19.239992304,99.4701,99.5502,99.5
19.279992288,99.4702,99.5501,99.5
19.319992272,99.4702,99.55,99.5
19.359992255999998,99.4702,99.5498,99.5
19.39999224,99.4702,99.5498,99.5
19.439992223999997,99.4703,99.5497,99.5
19.479992208000002,99.4703,99.5496,99.5
19.519992192,99.4704,99.5495,99.5
19.559992176,99.4704,99.5495,99.5
19.59999216,99.4704,99.5494,99.5
19.639992144,99.4705,99.5493,99.5
19.679992128,99.4704,99.5492,99.5
19.719992112,99.4704,99.5491,99.5
19.759992096,99.4704,99.549,99.5
19.79999208,99.4705,99.549,99.5
19.839992064,99.4705,99.5489,99.5
19.879992048,99.4706,99.5488,99.5
19.919992032,99.4706,99.5487,99.5
19.959992015999998,99.4707,99.5487,99.5
19.999992000000002,99.4707,99.5487,99.5
20.039991984,99.4707,99.5487,99.5
20.079991967999998,99.4707,99.5486,99.5
20.119991952,99.4707,99.5485,99.5
20.159991935999997,99.4708,99.5485,99.5
20.19999192,99.4708,99.5485,99.5
20.239991904,99.4709,99.5485,99.5
20.279991888,99.4709,99.5484,99.5
20.319991872,99.4708,99.5483,99.5
20.359991856,99.4709,99.5483,99.5
20.39999184,99.4709,99.5483,99.5
20.439991824,99.4709,99.5482,99.5
20.479991808,99.471,99.5482,99.5
20.519991792,99.471,99.5481,99.5
20.559991776,99.471,99.5482,99.5
20.599991759999998,99.4711,99.5481,99.5
20.639991744,99.471,99.5481,99.5
20.679991727999997,99.4711,99.5481,99.5
20.719991712000002,99.4711,99.5481,99.5
20.759991696,99.4711,99.5481,99.5
20.79999168,99.4711,99.5481,99.5
20.839991664,99.4712,99.5481,99.5
20.879991648,99.4712,99.5481,99.5
20.919991632,99.4712,99.5482,99.5
20.959991616,99.4712,99.5481,99.5
20.9999916,99.4713,99.5482,99.5
21.039991584,99.4713,99.5482,99.5
21.079991568,99.4713,99.5481,99.5
21.119991552,99.4713,99.5481,99.5
21.159991536,99.4713,99.5481,99.5
21.199991519999998,99.4713,99.5482,99.5
21.239991504000002,99.4713,99.5481,99.5
21.279991488,99.4714,99.5481,99.5
21.319991471999998,99.4714,99.5482,99.5
21.359991456,99.4714,99.5482,99.5
21.399991439999997,99.4714,99.5482,99.5
21.439991424,99.4714,99.5482,99.5
21.479991408,99.4714,99.5482,99.5
21.519991392,99.4714,99.5483,99.5
21.559991376,99.4714,99.5483,99.5
21.59999136,99.4714,99.5483,99.5
21.639991344,99.4714,99.5483,99.5
21.679991328,99.4714,99.5483,99.5
21.719991312,99.4715,99.5484,99.5
21.759991296,99.4715,99.5485,99.5
21.79999128,99.4714,99.5485,99.5
21.839991264,99.4715,99.5486,99.5
21.879991248,99.4714,99.5486,99.5
21.919991231999997,99.4715,99.5487,99.5
21.959991216000002,99.4715,99.5487,99.5
21.9999912,99.4716,99.5488,99.5
22.039991184,99.4716,99.5489,99.5
22.079991168,99.4716,99.549,99.5
22.119991151999997,99.4717,99.549,99.5
22.159991136,99.4717,99.5491,99.5
22.19999112,99.4716,99.5491,99.5
22.239991104,99.4716,99.5492,99.5
22.279991088,99.4716,99.5493,99.5
22.319991072,99.4716,99.5494,99.5
22.359991056,99.4716,99.5495,99.5
22.39999104,99.4716,99.5495,99.5
22.439991023999998,99.4716,99.5496,99.5
22.479991008000002,99.4715,99.5497,99.5
22.519990992,99.4715,99.5498,99.5
22.559990975999998,99.4715,99.5499,99.5
